CLUB,PLAYER,Market Value (EUROS)
Tottenham Hotspur ,Hugo Lloris,2000000
Tottenham Hotspur ,Fraser Forster,1200000
Tottenham Hotspur ,Heung-min Son,50000000
Tottenham Hotspur ,Timo Werner,20000000
Tottenham Hotspur ,Ben Davies,15000000
Tottenham Hotspur ,Dominic Solanke,25000000
Tottenham Hotspur ,Kevin Danso,22000000
Tottenham Hotspur ,Sergio Reguilón,10000000
Tottenham Hotspur ,Alfie Whiteman,500000
Tottenham Hotspur ,Guglielmo Vicario,20000000
Tottenham Hotspur ,James Maddison,70000000
Tottenham Hotspur ,Joe Rodon,5000000
Tottenham Hotspur ,Japhet Tanganga,5000000
Tottenham Hotspur ,Rodrigo Bentancur,35000000
Tottenham Hotspur ,Cristian Romero,65000000
Tottenham Hotspur ,Richarlison,40000000
Tottenham Hotspur ,Manor Solomon,18000000
Tottenham Hotspur ,Yves Bissouma,30000000
Tottenham Hotspur ,Brandon Austin,600000
Tottenham Hotspur ,Dejan Kulusevski,55000000
Tottenham Hotspur ,Brennan Johnson,48000000
Tottenham Hotspur ,Djed Spence,8000000
Tottenham Hotspur ,Pedro Porro,45000000
Tottenham Hotspur ,Destiny Udogie,38000000
Tottenham Hotspur ,Micky van de Ven,40000000
Tottenham Hotspur ,Radu Drăgușin,10000000
Tottenham Hotspur ,Pape Matar Sarr,35000000
Tottenham Hotspur ,Dane Scarlett,1800000
Tottenham Hotspur ,Yago Santiago,200000
Tottenham Hotspur ,Antonín Kinský,500000
Tottenham Hotspur ,Wilson Odobert,9000000
Tottenham Hotspur ,Jamie Donley,1500000
Tottenham Hotspur ,Mathys Tel,50000000
Tottenham Hotspur ,Ashley Phillips,2000000
Tottenham Hotspur ,Lucas Bergvall,3500000
Tottenham Hotspur ,Archie Gray,6000000
  Bournemouth,Darren Randolph,300000
  Bournemouth,Adam Smith,1000000
  Bournemouth,Ryan Fredericks,1500000
  Bournemouth,Joe Rothwell,4000000
  Bournemouth,Ryan Christie,12000000
  Bournemouth,Kepa Arrizabalaga,20000000
  Bournemouth,Emiliano Marcondes,1500000
  Bournemouth,Jamal Lowe,1500000
  Bournemouth,Lewis Cook,10000000
  Bournemouth,Enes Ünal,25000000
  Bournemouth,Kieffer Moore,2500000
  Bournemouth,David Brooks,9000000
  Bournemouth,Justin Kluivert,11000000
  Bournemouth,Tyler Adams,20000000
  Bournemouth,Mark Travers,3500000
  Bournemouth,Marcus Tavernier,17000000
