league,season,team,player,nation_,pos_,age_,born_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Market  Value (EUROS)
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28,1995,38,38,3420,38,0,0,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,40000000
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25,1999,35,33,2825,31.4,4,7,11,4,0,0,7,1,3.5,3.5,6.6,10.1,90,192,94,0.13,0.22,0.35,0.13,0.35,0.11,0.21,0.32,0.11,0.32,110000000
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26,1997,28,28,2363,26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13,70000000
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001,33,25,2290,25.4,8,4,12,8,0,0,1,0,7.4,7.4,5,12.4,124,52,289,0.31,0.16,0.47,0.31,0.47,0.29,0.19,0.49,0.29,0.49,50000000
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23,2001,30,27,2417,26.9,1,3,4,1,0,0,7,0,1.2,1.2,0.8,2.1,57,146,104,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08,38000000
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,29,1994,38,28,2546,28.3,8,7,15,8,0,0,4,1,7.2,7.2,6.1,13.3,80,101,226,0.28,0.25,0.53,0.28,0.53,0.25,0.22,0.47,0.25,0.47,20000000
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,25,1998,30,26,2325,25.8,3,8,11,2,1,1,4,0,4.8,4,5.4,9.5,92,258,154,0.12,0.31,0.43,0.08,0.39,0.19,0.21,0.4,0.16,0.37,80000000
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31,1993,35,31,2797,31.1,4,2,6,4,0,0,4,0,2.3,2.3,2.1,4.3,36,185,48,0.13,0.06,0.19,0.13,0.19,0.07,0.07,0.14,0.07,0.14,18000000
ENG-Premier League,2425,Arsenal,William Saliba,FRA,DF,23,2001,35,35,3039,33.8,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,16,138,6,0.06,0,0.06,0.06,0.06,0.07,0.03,0.09,0.07,0.09,75000000
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,31,1992,37,37,3194,35.5,0,0,0,0,0,0,5,1,0,0,0.5,0.5,0,4,0,0,0,0,0,0,0,0.02,0.02,0,0.02,15000000
